ENSG chr ENSGStart ENSGEnd O0 O20 O60 O2H O4H O24H N0 N20 N60 N2H N4H N24H
ENSG00000131127 chr4 337814 384864 851 518 591 483 484 1593 1453 1165 2511 1182 1283 1406
ENSG00000131143 chr16 85798633 85807044 17374 4276 4842 4543 4679 7134 12617 9854 12711 10755 9250 7405
ENSG00000131148 chr16 85771758 85799608 695 497 593 558 699 1373 1417 1104 1864 892 1198 1387
ENSG00000131149 chr16 85169525 85676204 1502 914 1768 1367 910 670 1794 1445 3920 1722 2105 787
ENSG00000131165 chr16 89644431 89657845 740 324 362 652 726 1442 962 755 1476 1131 1262 1642
ENSG00000131171 chrX 81201943 81298547 2497 724 636 576 350 726 1842 1440 2228 1099 932 708
ENSG00000131174 chrX 77899438 77907373 1551 422 368 455 513 2347 1044 943 1114 1152 1363 2725
ENSG00000131187 chr5 177402140 177409576 21 5 3 0 1 7 3 10 6 0 2 40
ENSG00000131196 chr18 79395856 79529325 3450 3122 10055 14560 9285 4902 8061 6501 31748 26208 24704 4848
ENSG00000131203 chr8 39902275 39928444 4 0 1 0 59 1088 0 0 5 7 30 52
ENSG00000131236 chr1 40040233 40072649 6790 1999 2002 2714 3273 14516 4757 4312 6640 6295 7809 14685
ENSG00000131238 chr1 40072705 40097703 1803 418 297 303 544 4247 1000 759 1327 914 1707 5250
ENSG00000131242 chr17 31391624 31538217 2907 1687 1340 878 592 582 4592 3690 4598 1813 1056 672
ENSG00000131263 chrX 74585217 74614617 3649 2339 2446 1937 1243 1573 5610 3938 7407 3941 3027 1911
ENSG00000131269 chrX 75053172 75156732 1382 653 577 671 761 1415 1946 1322 2346 1153 2088 1834
ENSG00000131323 chr14 102777476 102911500 7067 6495 9139 14324 14998 14310 13487 9960 21209 12238 23825 6948
ENSG00000131351 chr19 17049729 17075625 386 271 194 134 133 751 760 648 740 270 411 638
ENSG00000131355 chr19 14619117 14690027 79 26 28 29 14 21 18 11 31 20 21 16
ENSG00000131368 chr3 15042460 15065335 507 307 280 718 1486 1969 886 600 1403 1110 3142 2058
ENSG00000131373 chr3 15560704 15601852 835 746 632 337 362 938 2112 1551 2160 747 788 736
ENSG00000131374 chr3 17157162 18444817 3321 1347 707 487 546 7140 2094 1593 1630 783 947 4025
ENSG00000131375 chr3 15206152 15252918 2996 1490 1122 800 661 1473 4530 3039 4688 2137 1685 1566
ENSG00000131378 chr3 16313574 16514026 4266 2033 3053 3557 3235 6621 6505 4977 14623 6282 8093 5110
ENSG00000131379 chr3 14675099 14773034 398 162 216 245 226 257 556 498 1116 457 588 136
ENSG00000131381 chr3 15070073 15099163 2066 854 892 633 420 375 2737 2027 2890 1232 856 498
ENSG00000131386 chr3 16174649 16231992 0 3 0 1 0 1 6 1 0 0 3 1
ENSG00000131389 chr3 14402576 14489349 1945 1012 1160 1330 1711 3648 1943 1446 3294 1782 3024 3853
ENSG00000131398 chr19 50311937 50333515 67 22 40 27 42 249 32 35 81 41 52 205
ENSG00000131400 chr19 50358477 50365830 26 2 15 8 1 200 2 6 11 0 2 125
ENSG00000131401 chr19 50333796 50344767 72 23 6 17 12 32 22 5 14 8 8 5
ENSG00000131408 chr19 50329653 50382982 2530 850 1318 1387 962 2088 2812 2296 4360 2608 1961 2237
ENSG00000131437 chr5 132692628 132737638 432 343 361 511 444 716 858 552 1587 1096 1028 833
ENSG00000131446 chr5 180784782 180815652 2268 671 582 628 1035 1964 1339 1003 1443 988 1281 1876
ENSG00000131459 chr5 180300690 180353387 3 8 11 11 9 2 36 26 74 25 20 16
ENSG00000131462 chr17 42609676 42615234 53 34 29 47 141 1592 63 50 160 119 168 2050
ENSG00000131467 chr17 42824385 42843758 1764 512 611 1248 2711 8676 1630 1448 2541 2953 6705 11959
ENSG00000131469 chr17 42998273 43002959 34262 6521 6176 7076 7725 16643 13123 13826 15052 17989 14467 16263
ENSG00000131470 chr17 42572315 42577831 17 17 29 51 25 947 40 46 203 133 87 728
ENSG00000131471 chr17 42851184 42858130 7 5 9 17 15 58 53 51 71 11 53 33
ENSG00000131473 chr17 41866908 41930542 1972 738 692 971 2703 9008 1884 1615 2122 1656 4977 10768
ENSG00000131475 chr17 42773436 42779599 368 92 114 189 185 1152 393 338 655 446 463 1457
ENSG00000131480 chr17 42844600 42850707 51 15 19 29 95 138 80 60 134 64 165 146
ENSG00000131495 chr5 140638740 140647785 883 259 186 147 164 829 549 413 516 362 418 842
ENSG00000131507 chr5 142108505 142154443 10524 6497 4841 5330 5970 6473 15224 10625 16958 11464 16682 6998
ENSG00000131508 chr5 139526431 139628433 6630 3857 3129 2798 2251 5246 8431 6271 8963 5623 4880 5238
ENSG00000131558 chr7 133253073 134066589 6268 3587 2451 1690 1723 7521 7178 5197 6834 2471 4186 4107
ENSG00000131584 chr1 1292376 1309609 323 163 225 279 255 441 521 394 892 405 565 710
ENSG00000131591 chr1 1081818 1116361 197 64 181 355 639 833 347 236 914 611 1726 1072
ENSG00000131626 chr11 70270700 70384403 1297 1045 1738 2501 2633 3717 2708 2015 6142 3665 4901 3620
ENSG00000131634 chr16 1528688 1555580 436 217 224 183 128 478 475 380 749 409 245 374
ENSG00000131652 chr16 3024027 3027755 186 52 86 249 602 1325 161 104 300 484 1124 1612
ENSG00000131653 chr16 2155698 2178129 749 285 303 307 574 2558 538 435 793 586 1058 2913
ENSG00000131668 chr9 93951622 93955372 1 1 0 1 2 0 3 0 3 2 2 2
ENSG00000131669 chr9 93121489 93134288 3228 1093 1556 3569 3987 1706 1643 1347 3085 3724 9189 1177
ENSG00000131686 chr1 8945867 8975092 40 13 27 39 29 8 37 17 122 58 83 25
ENSG00000131697 chr1 5862811 5992473 241 180 323 391 598 740 326 356 1277 635 1364 669
ENSG00000131711 chr5 72107234 72209570 13 1 3 3 2 0 5 3 8 0 1 8
ENSG00000131724 chrX 118727572 118794539 319 72 57 30 19 63 3 6 8 8 5 7
ENSG00000131725 chrX 118346073 118449961 1477 971 1039 1155 865 1048 2334 1803 3541 1883 1674 857
ENSG00000131730 chr5 81233285 81266397 1 5 5 8 5 5 24 4 5 1 12 6
ENSG00000131746 chr17 40475828 40501597 26 5 12 15 21 70 24 42 35 26 11 73
ENSG00000131747 chr17 40388516 40417950 264 102 65 59 14 996 176 144 190 103 118 919
ENSG00000131748 chr17 39637065 39663484 1614 714 1078 1493 1689 2180 2615 2032 3753 2657 3280 2172
ENSG00000131759 chr17 40309192 40357643 2752 1414 3242 4511 3733 1617 3368 2918 10941 7833 8841 2523
ENSG00000131771 chr17 39626740 39636626 0 1 1 1 0 0 19 1 1 0 0 0
ENSG00000131778 chr1 147242641 147295766 648 370 289 339 793 2335 810 604 974 713 2444 2890
ENSG00000131779 chr1 145911350 145918837 252 69 124 171 184 534 304 197 477 436 467 655
ENSG00000131781 chr1 147175351 147243050 17 8 6 14 12 19 19 4 22 11 15 7
ENSG00000131791 chr1 147155106 147172550 216 60 60 97 89 131 280 180 392 288 298 282
ENSG00000131797 chr16 31700590 31711986 2364 1292 2042 1994 2434 682 4582 3386 5620 2760 5752 761
ENSG00000131828 chrX 19343893 19361705 805 422 426 643 1010 2291 1093 843 1398 1098 2113 2895
ENSG00000131831 chrX 17800049 17861337 98 87 166 121 105 14 466 299 883 344 581 37
ENSG00000131844 chr5 71587288 71658704 857 453 538 758 1018 3221 1243 952 1925 1102 2292 2629
ENSG00000131845 chr19 57351307 57359898 153 56 140 182 170 135 204 164 562 459 432 195
ENSG00000131849 chr19 58432814 58440222 37 19 57 54 72 112 28 26 177 140 163 144
ENSG00000131871 chr15 101270817 101277500 539 210 239 449 626 894 459 288 780 980 1277 822
ENSG00000131873 chr15 101175723 101251932 943 523 1703 7143 10932 4315 823 598 4839 7853 24412 4284
ENSG00000131876 chr15 101281510 101295282 3389 1929 1301 1279 1493 3848 5785 4053 4726 2308 3844 5207
ENSG00000131899 chr17 18225587 18244875 302 84 126 105 123 642 368 302 396 199 307 1064
ENSG00000131931 chr8 42836674 42843325 274 62 105 141 135 616 262 204 424 357 375 687
ENSG00000131941 chr19 32978593 33064888 8 7 8 13 5 77 5 1 19 13 22 114
ENSG00000131943 chr19 29698886 29715789 226 125 113 200 313 1195 247 228 603 561 825 1220
ENSG00000131944 chr19 32972209 32978222 28 14 25 10 11 131 40 26 64 43 32 74
ENSG00000131951 chr14 59919713 60063559 2 1 4 5 2 0 2 1 5 1 2 2
ENSG00000131979 chr14 54842008 54902852 1345 1098 1404 1074 905 1524 2121 1549 3373 1919 2029 1643
ENSG00000132000 chr19 13931187 13953392 9 7 8 3 7 6 5 6 2 2 5 1
ENSG00000132002 chr19 14514770 14529770 15992 7390 11733 6724 1623 2367 18883 19195 21532 6542 1666 2508
ENSG00000132003 chr19 13795460 13832230 156 74 164 147 101 208 182 170 333 152 131 157
ENSG00000132004 chr19 12688053 12696643 42 19 35 60 96 118 130 82 187 112 213 141
ENSG00000132010 chr19 12092843 12140407 36 28 38 25 28 56 67 58 78 56 33 76
ENSG00000132016 chr19 13882348 13906452 5 11 12 2 3 168 27 8 30 27 8 157
ENSG00000132017 chr19 13952492 13961449 739 361 416 544 392 939 1138 846 1787 1240 862 1281
ENSG00000132024 chr19 13906201 13930879 313 144 130 114 118 1207 287 298 387 253 208 1281
ENSG00000132128 chr1 46261196 46303608 767 459 618 653 853 1664 1576 1221 1992 1213 1733 1834
ENSG00000132141 chr17 34927859 34981078 317 180 143 94 78 40 691 494 582 224 198 40
ENSG00000132155 chr3 12583601 12664226 3949 2337 3246 3295 3036 4365 6741 5516 10070 6007 6317 4978
ENSG00000132170 chr3 12287368 12434356 50 39 328 515 600 99 54 48 144 164 526 97
ENSG00000132182 chr3 13316235 13420309 5207 1929 2166 2026 2076 7386 5044 4071 5522 2807 4114 9491
ENSG00000132196 chr1 162790702 162812817 163 107 79 91 109 335 232 199 500 230 251 471
ENSG00000132199 chr18 670324 712676 783 567 864 992 1523 2363 1537 1164 2638 1510 3774 2175
ENSG00000132204 chr18 1254383 1408344 17 5 12 16 28 62 8 9 30 15 41 32
ENSG00000132205 chr18 2847030 2915993 703 254 315 246 237 583 129 93 253 105 85 348
ENSG00000132254 chr11 6474683 6481479 1132 394 468 507 429 1169 1484 1306 1785 1085 985 1284
ENSG00000132256 chr11 5663557 5938619 301 156 364 861 761 363 176 124 796 1255 1936 271
ENSG00000132259 chr11 6234765 6244429 5 0 5 0 2 4 2 2 7 4 4 3
ENSG00000132274 chr11 5689689 5737089 2733 1516 1338 1932 3052 1980 5154 3642 5546 3606 9332 1078
ENSG00000132275 chr11 6595075 6603620 723 290 336 465 679 612 954 797 1324 918 1577 1107
ENSG00000132286 chr11 6481447 6484679 1207 539 553 521 611 942 1456 1066 1937 1426 1594 997
ENSG00000132294 chr8 131904088 132013642 3566 2552 2186 1817 1802 3376 6664 4785 6939 3484 4430 3204
ENSG00000132300 chr2 86106182 86142157 3620 1794 1874 1909 2630 5044 5046 3805 6756 4496 6501 5208
ENSG00000132305 chr2 86143932 86195770 1280 486 732 886 1547 4386 1517 1271 2634 1926 3682 5136
ENSG00000132313 chr2 86199355 86213794 106 41 69 113 203 1177 175 156 388 367 423 1646
ENSG00000132321 chr2 236324147 236507542 10 3 2 3 9 47 2 9 8 5 13 13
ENSG00000132323 chr2 238170401 238203729 2883 1714 1352 1225 1381 2006 5318 3664 4918 2328 3028 2332
ENSG00000132326 chr2 238244038 238290102 1712 1218 1842 2844 2365 1075 3202 2634 5645 4929 5695 1460
ENSG00000132329 chr2 237858893 237912114 25 16 28 20 12 34 13 9 24 6 20 12
ENSG00000132330 chr2 238060889 238099413 157 65 91 199 368 1804 145 97 385 233 504 1797
ENSG00000132334 chr10 127907061 128085855 2121 1297 1509 2012 2539 3140 2786 2195 3338 2142 5235 2372
ENSG00000132341 chr12 130871879 130877678 5970 1389 1762 3798 7441 27934 3416 2784 5555 7498 16880 31041
ENSG00000132356 chr5 40759379 40798374 2836 1278 1175 1387 1488 2139 3447 2562 4448 3008 3752 2230
ENSG00000132357 chr5 40841184 40860175 47 10 11 14 29 86 17 19 35 57 35 49
ENSG00000132359 chr17 2755705 3037739 835 484 505 278 139 63 1557 1206 1755 455 247 78
ENSG00000132361 chr17 2689386 2712663 516 261 278 986 3229 6563 787 478 1232 1361 6228 8676
ENSG00000132376 chr17 1494571 1516888 2560 1104 1214 944 643 733 4167 3171 4183 2324 1367 1014
ENSG00000132382 chr17 4538897 4555631 732 310 414 1142 3962 6720 1309 925 1975 2000 7506 7959
ENSG00000132383 chr17 1829702 1900082 1124 492 543 541 582 2763 1625 1311 2169 1226 1317 3817
ENSG00000132386 chr17 1761959 1777574 49 4 11 11 7 4 13 29 6 17 7 4
ENSG00000132388 chr17 4269259 4366628 4695 3094 2168 1633 1497 2632 6353 4903 6044 2781 3177 3000
ENSG00000132394 chr3 128153454 128408646 2268 1547 1236 1516 1881 2583 3755 2787 4290 2066 3672 2777
ENSG00000132405 chr4 6909242 7033118 1832 914 880 1067 1405 2825 2256 1659 3000 1903 2701 2989
ENSG00000132406 chr4 4235542 4248212 303 135 93 125 116 411 392 257 585 378 409 501
ENSG00000132423 chr6 99369400 99394204 21 6 17 15 15 187 39 63 105 47 55 456
ENSG00000132424 chr6 99398051 99425331 7349 3867 3337 2792 2747 3456 9880 7791 11223 5714 6957 3623
ENSG00000132432 chr7 54752250 54759974 733 266 176 220 318 1677 717 547 647 548 675 1120
ENSG00000132463 chr4 70815782 70839945 1745 707 543 677 1064 4282 1676 1315 2157 1631 3050 4771
ENSG00000132465 chr4 70655541 70681817 567 104 39 39 25 24 114 231 92 128 87 39
ENSG00000132466 chr4 73073376 73258798 5934 2982 4507 6564 8568 12051 9002 6582 14560 9907 17546 9584
ENSG00000132467 chr4 70688479 70690551 243 88 99 223 431 651 261 195 414 415 967 848
ENSG00000132470 chr17 75721328 75757818 16 11 8 8 10 4 12 14 9 3 8 14
ENSG00000132471 chr17 75845699 75856507 2554 649 895 1157 1234 1684 2168 1908 3218 2333 1956 1686
ENSG00000132475 chr17 75776434 75785893 52050 17806 17717 14855 12929 16704 37421 29407 39138 26180 24043 18283
ENSG00000132481 chr17 75874161 75878575 30 4 2 8 8 121 51 19 32 33 23 250
ENSG00000132485 chr1 71063291 71081297 2158 1327 1283 1409 2140 3927 4463 3178 5950 3894 6255 4652
ENSG00000132507 chr17 7306999 7312463 9933 2814 2658 3102 6153 20834 6881 6150 8208 6947 13920 26803
ENSG00000132517 chr17 5032600 5052009 1 4 3 1 3 3 2 2 3 1 3 0
ENSG00000132522 chr17 7311324 7315564 1804 469 704 603 678 1437 1123 1159 1680 1160 1170 1743
ENSG00000132530 chr17 6755447 6775647 594 188 217 244 634 404 446 355 801 603 4564 313
ENSG00000132535 chr17 7189890 7219702 366 155 159 149 98 159 449 322 728 310 204 268
ENSG00000132541 chr8 98102344 98117241 36 9 3 15 22 330 15 9 34 26 50 343
ENSG00000132549 chr8 99013266 99877580 7042 3803 2789 2803 3776 8358 10865 7858 10946 5216 10000 6749
ENSG00000132554 chr8 99960936 100131268 5 0 7 5 0 8 5 4 6 0 3 3
ENSG00000132561 chr8 97868840 98036716 24 11 9 6 6 22 14 9 23 6 1 1
ENSG00000132563 chr5 138439017 138446969 5 3 5 1 16 23 0 3 19 24 26 42
ENSG00000132581 chr17 28648356 28662189 556 254 393 427 488 863 693 594 1367 989 741 856
ENSG00000132589 chr17 28879335 28897679 2420 674 518 396 306 1265 1360 1279 1522 984 782 1614
ENSG00000132591 chr17 28854938 28861067 218 64 125 253 406 1179 281 232 599 500 937 2078
ENSG00000132600 chr16 68310974 68358563 433 206 245 237 213 1088 869 752 1255 627 760 1650
ENSG00000132603 chr16 69339430 69343111 646 261 270 447 977 1938 627 565 1225 1258 2980 3231
ENSG00000132604 chr16 69355561 69408571 2264 803 1026 1199 1389 2176 2596 2084 3619 2465 3109 2464
ENSG00000132612 chr16 69311356 69326939 876 407 410 523 686 673 1400 1054 1721 1077 1503 1807
ENSG00000132623 chr20 9986126 10058303 52 28 43 50 73 110 66 75 211 208 226 171
ENSG00000132639 chr20 10218830 10307418 1 0 0 1 0 32 2 1 2 4 1 3
ENSG00000132640 chr20 11890723 11926609 85 26 38 57 48 335 38 34 84 45 73 240
ENSG00000132646 chr20 5114953 5126626 517 217 242 220 223 7629 494 499 1072 652 514 8306
ENSG00000132664 chr20 18467127 18484643 404 210 216 184 161 628 637 520 914 485 437 982
ENSG00000132669 chr20 19886521 20002457 104 35 90 99 36 17 5 2 24 9 2 1
ENSG00000132670 chr20 2864184 3039076 4158 2111 1790 1716 1569 3665 5611 4431 6233 3192 3629 3082
ENSG00000132676 chr1 155687960 155739010 4840 1280 1352 1612 1938 7946 3146 2905 4453 3248 5408 8249
ENSG00000132680 chr1 155913043 155934400 1031 545 941 1112 1272 2036 1693 1249 3521 2500 2840 2068
ENSG00000132694 chr1 156934840 157045370 404 156 166 128 128 171 236 262 244 129 94 88
ENSG00000132698 chr1 156061160 156070514 9 8 4 4 4 5 6 0 16 3 2 4
ENSG00000132702 chr1 156619294 156625725 4 0 0 0 2 0 10 15 7 4 0 0
ENSG00000132704 chr1 157745733 157777132 27 10 1 10 0 0 3 2 4 0 1 1
ENSG00000132718 chr1 155859509 155885199 1011 412 449 395 200 567 775 607 747 511 309 255
ENSG00000132744 chr11 67642555 67650659 27 6 5 2 0 8 2 8 4 1 2 7
ENSG00000132749 chr11 68707440 68751564 112 25 24 20 10 47 73 53 42 25 24 29
ENSG00000132763 chr1 45500053 45513382 16 7 16 36 55 196 7 2 43 75 123 337
ENSG00000132768 chr1 43970000 43973369 190 61 71 318 1522 3495 178 107 362 615 2809 3915
ENSG00000132780 chr1 45583846 45618904 2358 2023 2629 1879 1723 9976 5463 4087 8670 4542 3789 11586
ENSG00000132781 chr1 45329163 45340470 714 460 356 384 299 698 1275 932 1545 683 642 1128
ENSG00000132792 chr20 37693955 37872129 1426 776 694 1034 1440 3345 1541 1150 2460 1519 2927 2724
ENSG00000132793 chr20 41340920 41360582 13 3 0 0 0 6 8 11 23 4 7 4
ENSG00000132801 chr20 45857617 45879122 17 12 41 71 61 177 22 28 277 162 119 156
ENSG00000132819 chr20 57391407 57409333 9796 4239 3965 2437 1202 2438 11628 9861 13435 5094 2652 3791
ENSG00000132825 chr20 59936668 59940297 77 21 38 23 18 95 88 71 143 87 48 109
ENSG00000132832 chr20 44656451 44696096 7 1 6 9 11 19 17 4 30 26 22 4
ENSG00000132837 chr5 78997606 79236038 101 82 61 49 23 120 197 127 246 76 82 97
ENSG00000132842 chr5 78000525 78294755 4173 2283 1978 2036 1709 4948 5759 4108 6676 3350 3890 4107
ENSG00000132846 chr5 77072072 77087323 198 61 73 65 63 35 139 138 267 139 203 44
ENSG00000132849 chr1 61742477 62178675 3511 1752 1252 1177 1366 1335 5011 3721 5031 2487 3009 1022
ENSG00000132872 chr18 43267878 43277650 0 0 1 4 0 0 2 9 41 38 23 0
ENSG00000132874 chr18 45212995 45683686 7 5 5 13 3 2 12 10 4 1 3 1
ENSG00000132879 chr1 11654375 11663327 297 124 107 55 33 116 508 254 257 180 134 259
ENSG00000132881 chr1 16231700 16237162 66 37 29 21 22 87 82 58 61 28 43 84
ENSG00000132912 chr5 150708440 150759109 3627 1901 1876 1267 946 2440 5113 3839 5937 2575 2540 2237
ENSG00000132932 chr13 25372071 26025851 53 31 33 30 15 61 73 56 76 45 32 59
ENSG00000132938 chr13 28820348 29505947 61 26 27 29 28 11 34 40 43 18 58 7
ENSG00000132950 chr13 19823482 19863636 1686 674 591 493 347 536 1825 1234 2010 1027 845 482
ENSG00000132952 chr13 30617693 30660770 2361 1357 1093 921 1042 1392 3568 2670 3265 1594 2194 1142
ENSG00000132953 chr13 20777329 20903048 3520 2473 2330 1732 1960 5952 6977 4726 7848 3355 4761 5303
ENSG00000132958 chr13 19422877 19536762 26 36 23 8 2 53 61 39 59 16 13 15
ENSG00000132963 chr13 28659104 28678925 1677 632 744 702 898 4708 1928 1447 2445 1919 2684 4835
ENSG00000132964 chr13 26254104 26405238 510 242 582 876 1230 2241 781 618 2142 1141 2185 1802
ENSG00000132970 chr13 26557703 26688948 18 0 0 4 1 14 0 1 4 2 1 19
ENSG00000133019 chr1 239386565 239915452 136 58 118 242 274 63 152 97 325 338 497 30
ENSG00000133026 chr17 8474205 8630761 225 87 150 71 36 570 56 39 93 60 42 247
ENSG00000133027 chr17 17505563 17591708 245 85 75 156 435 1095 154 155 206 138 765 1004
ENSG00000133028 chr17 10672474 10698375 653 263 296 406 542 1703 821 596 1188 876 1538 1743
ENSG00000133030 chr17 17042545 17217679 3712 1742 1596 1734 2102 3512 3890 2836 4695 2656 3490 4717
ENSG00000133056 chr1 204422628 204494724 1261 740 1101 1138 1044 1119 2479 1894 3622 2057 1415 1049
ENSG00000133059 chr1 205142505 205211566 1301 951 811 690 525 1551 2702 2083 2984 1278 1094 1823
ENSG00000133063 chr1 203212827 203273641 16 19 15 13 7 6 27 20 63 16 23 4
ENSG00000133065 chr1 205789093 205813748 940 394 531 538 493 1438 1113 945 1502 843 779 1429
ENSG00000133067 chr1 202193901 202319781 80 18 22 19 11 1 52 50 42 46 5 4
ENSG00000133069 chr1 205228176 205273343 35 15 9 8 3 245 19 15 30 18 18 488
ENSG00000133103 chr13 39655627 39791665 467 280 361 460 321 1259 822 609 1373 765 899 1004
ENSG00000133104 chr13 36301638 36370180 1292 687 831 811 910 1499 1973 1372 2987 1836 2168 1560
ENSG00000133106 chr13 42886388 42992271 1162 478 1048 935 1974 1073 2160 1510 7180 3461 10201 605
ENSG00000133111 chr13 36819224 36829104 164 57 57 99 137 360 176 103 346 284 320 324
ENSG00000133112 chr13 45333471 45341370 308626 65744 50747 52000 56696 58214 125592 118373 135289 159458 139140 48923
ENSG00000133114 chr13 44989529 45037669 614 311 329 362 388 909 892 757 1394 682 978 1036
ENSG00000133121 chr13 33103135 33350630 28 14 25 17 11 112 23 4 19 4 6 18
ENSG00000133131 chrX 106813871 107000244 1010 619 526 322 261 437 1893 1498 2024 667 708 444
ENSG00000133134 chrX 103309346 103311046 551 215 184 151 115 197 545 496 678 354 277 219
ENSG00000133135 chrX 106693794 106796993 0 0 1 2 2 3 3 0 5 1 3 1
ENSG00000133138 chrX 106802680 106876145 2 6 1 6 3 13 9 10 11 16 9 29
ENSG00000133142 chrX 103576231 103587736 335 76 84 89 29 282 149 149 174 113 68 397
ENSG00000133169 chrX 103062651 103064240 3 0 3 0 0 9 3 1 8 12 2 4
ENSG00000133193 chr17 73207353 73236753 1137 444 482 537 472 996 1118 928 1620 909 957 1102
ENSG00000133195 chr17 72645949 73092712 1139 824 498 426 747 3005 1526 1147 1277 432 1289 2352
ENSG00000133216 chr1 22710839 22921500 26 5 12 12 11 55 0 0 6 5 1 8
ENSG00000133226 chr1 24631716 24673267 18171 5504 5743 4728 3693 8702 12969 11517 17257 9137 8279 10875
ENSG00000133243 chr19 1985438 2034881 1033 322 346 346 401 467 738 628 972 676 819 514
ENSG00000133246 chr19 8490056 8503112 249 46 74 33 12 7 91 58 65 39 20 2
ENSG00000133247 chr19 55339853 55348120 232 140 320 137 58 85 646 467 1144 324 135 122
ENSG00000133250 chr19 8509678 8514164 451 98 123 125 91 166 366 402 437 280 178 304
ENSG00000133256 chr4 625584 670782 211 66 48 48 62 179 120 115 168 66 103 225
ENSG00000133265 chr19 55262231 55280381 345 167 227 328 639 1828 576 551 824 674 1463 2149
ENSG00000133313 chr18 74495816 74523454 1400 571 599 631 1345 4551 1537 1083 1608 1243 2643 4560
ENSG00000133315 chr11 63998558 64166106 74 48 48 40 258 1876 104 62 92 48 387 1625
ENSG00000133316 chr11 62832342 62841809 2589 912 1007 1180 2065 3231 2812 2222 3467 2128 3858 4089
ENSG00000133317 chr11 63506084 63516774 9 3 8 0 4 0 0 0 3 6 7 0
ENSG00000133318 chr11 63681446 63759891 1598 617 903 829 665 1681 1079 887 1819 1194 1080 1189
ENSG00000133321 chr11 63536809 63546462 1701 513 510 484 451 207 1061 1013 1763 1347 1011 149
ENSG00000133328 chr11 63552770 63563383 15 5 3 0 0 0 19 4 20 17 11 1
ENSG00000133393 chr16 15865720 15888625 550 170 187 133 223 1100 450 394 581 456 642 1194
ENSG00000133398 chr5 6371881 6378594 1094 419 373 379 449 1131 1229 967 1370 943 945 953
ENSG00000133401 chr5 31639410 32110931 202 133 171 317 283 64 175 135 355 178 242 27
ENSG00000133422 chr22 30925130 30968298 1410 529 547 444 821 1408 1447 1149 1706 829 1432 1888
ENSG00000133454 chr22 25742144 26031041 18 10 15 6 5 19 39 20 33 12 14 16
ENSG00000133460 chr22 23856703 23886309 224 51 50 49 38 121 158 126 233 93 61 105
ENSG00000133477 chr22 39994949 40043529 81 73 127 176 204 97 289 222 620 127 420 106
ENSG00000133561 chr7 150625375 150632648 714 191 300 327 373 803 406 347 761 765 452 471
ENSG00000133574 chr7 150567277 150573955 873 228 385 598 484 682 531 397 1686 1721 946 411
ENSG00000133597 chr7 140673153 140696261 455 160 136 119 195 486 558 378 527 361 408 578
ENSG00000133606 chr7 140453040 140479569 4838 1854 1644 1266 899 1295 4539 3554 5022 2853 1909 1443
ENSG00000133612 chr7 151085831 151144436 791 414 506 464 392 814 920 789 1297 454 334 964
ENSG00000133619 chr7 149714781 149734575 156 99 119 140 242 461 211 172 323 230 392 486
ENSG00000133639 chr12 92140278 92145897 24791 7080 6718 6694 7342 1772 22952 17734 25401 17176 20618 1776
ENSG00000133661 chr10 79937740 79982614 1 0 0 2 0 1 1 1 0 0 0 9
ENSG00000133678 chr10 80078646 80092557 87 38 38 65 48 120 85 88 234 122 143 346
ENSG00000133687 chr12 29500840 29784759 4 3 6 4 8 5 3 0 9 6 13 2
ENSG00000133703 chr12 25204789 25250936 4450 2666 1673 1384 1095 933 7652 5308 5884 3146 2537 1153
ENSG00000133704 chr12 30628988 30695986 748 351 480 501 728 2957 1330 905 2242 1542 2280 2767
ENSG00000133706 chr5 146113038 146182660 1395 371 359 1351 4022 9742 821 510 1565 2371 10504 10560
ENSG00000133731 chr8 81657961 81686693 701 434 456 399 428 1622 1160 826 1489 958 952 1481
ENSG00000133739 chr8 85107147 85146076 83 18 27 17 22 309 36 39 125 65 83 410
ENSG00000133740 chr8 85177225 85217158 108 46 74 114 309 522 129 82 224 183 788 512
ENSG00000133773 chr12 82223681 82358805 2830 991 699 616 607 1479 2097 2037 2281 1456 2012 1931
ENSG00000133789 chr11 9664077 9752991 600 278 258 261 187 442 274 246 342 179 122 312
ENSG00000133794 chr11 13276652 13387266 7608 5658 4600 2622 1240 1657 14345 10695 13597 4600 2362 1012
ENSG00000133808 chr11 12276080 12359144 85 33 19 30 18 211 46 51 30 29 46 139
ENSG00000133812 chr11 9778667 10294207 1599 1027 847 690 697 1628 1914 1407 1968 822 1195 714
ENSG00000133816 chr11 12094008 12263789 343 149 172 377 348 3548 225 202 509 438 903 3605
ENSG00000133818 chr11 14277926 14364506 1761 1589 1180 957 1171 1897 3639 2553 3314 1165 1676 1333
ENSG00000133835 chr5 119452443 119637199 253 139 112 154 132 2031 268 179 459 290 351 2040
ENSG00000133858 chr12 71609472 71667725 5472 3340 3073 4397 4946 3893 8329 5955 11065 7074 10824 3572
ENSG00000133872 chr8 30063012 30083208 58368 16582 15866 14233 9197 5329 42793 34473 51578 39973 24538 8539
ENSG00000133874 chr8 33547755 33567125 418 201 279 245 121 54 423 332 578 345 177 67
ENSG00000133884 chr11 65333754 65353249 997 461 606 804 742 1585 1395 1213 1933 1474 1300 1784
ENSG00000133935 chr14 75649791 75661189 315 120 110 107 128 681 310 294 390 247 291 786
ENSG00000133943 chr14 91060333 91225632 813 363 445 410 495 1727 955 709 1467 719 1209 1473
